nm,Ga,In,P,As
0,0,100,87.3689,12.6311
0.0662025,0,100,85.8311,14.1689
0.132405,4.42507,95.5749,83.038,16.962
0.198608,0,100,84.9504,15.0496
0.26481,0,100,76.5729,23.4271
0.331013,0,100,86.168,13.832
0.397215,0,100,89.731,10.269
0.463418,3.15664,96.8434,84.5899,15.4101
0.52962,6.92391,93.0761,87.5098,12.4902
0.595823,8.71097,91.289,85.6238,14.3762
0.662025,3.07312,96.9269,86.1879,13.8121
0.728228,5.74737,94.2526,88.5958,11.4042
0.79443,2.56583,97.4342,90.3271,9.67288
0.860633,7.18353,92.8165,94.3189,5.68107
0.926835,0,100,92.0906,7.90943
0.993038,0,100,83.5773,16.4227
1.05924,7.94513,92.0549,83.8637,16.1363
1.12544,3.68234,96.3177,82.1814,17.8186
1.19165,0,100,93.7469,6.25311
1.25785,5.42386,94.5761,81.9511,18.0489
1.32405,2.97085,97.0292,88.1285,11.8715
1.39025,12.9572,87.0428,84.7027,15.2973
1.45646,17.1609,82.8391,84.9634,15.0366
1.52266,10.8932,89.1068,79.408,20.592
1.58886,8.83149,91.1685,72.1643,27.8357
1.65506,8.45664,91.5434,83.2344,16.7656
1.72127,3.01704,96.983,84.8368,15.1632
1.78747,9.94735,90.0527,83.4913,16.5087
1.85367,0,100,78.5393,21.4607
1.91987,6.80995,93.1901,89.1385,10.8615
1.98608,6.93586,93.0641,83.1115,16.8885
2.05228,8.26492,91.7351,88.2637,11.7363
2.11848,0,100,74.6301,25.3699
2.18468,4.08569,95.9143,81.5087,18.4913
2.25089,15.0289,84.9711,78.8569,21.1431
2.31709,4.65604,95.344,88.338,11.662
2.38329,0,100,83.4438,16.5562
2.44949,5.27656,94.7234,73.2582,26.7418
2.5157,0,100,77.4465,22.5535
2.5819,4.36063,95.6394,86.0129,13.9871
2.6481,0,100,78.225,21.775
2.7143,6.80313,93.1969,79.4345,20.5655
2.78051,10.0579,89.9421,83.0702,16.9298
2.84671,5.9237,94.0763,74.071,25.929
2.91291,0,100,79.2344,20.7656
2.97911,1.2284,98.7716,84.8135,15.1865
3.04532,9.77644,90.2236,74.4003,25.5997
3.11152,2.18511,97.8149,80.4833,19.5167
3.17772,9.31985,90.6802,80.2994,19.7006
3.24392,2.5741,97.4259,82.5205,17.4795
3.31013,4.04119,95.9588,67.7738,32.2261
3.37633,1.46085,98.5391,83.4295,16.5705
3.44253,11.3398,88.6602,84.0841,15.9159
3.50873,12.2174,87.7826,69.3703,30.6297
3.57494,11.7983,88.2017,77.7713,22.2287
3.64114,14.4094,85.5906,72.5302,27.4698
3.70734,9.2523,90.7477,77.7722,22.2278
3.77354,8.47771,91.5223,78.2636,21.7364
3.83975,0,100,79.765,20.235
3.90595,8.56757,91.4324,73.4486,26.5514
3.97215,10.5676,89.4324,74.1423,25.8577
4.03835,13.0472,86.9528,69.2492,30.7508
4.10456,8.5685,91.4315,67.5865,32.4135
4.17076,4.22984,95.7702,54.8989,45.1011
4.23696,3.50481,96.4952,70.3047,29.6953
4.30316,5.21976,94.7802,62.759,37.241
4.36937,8.2206,91.7794,56.9803,43.0197
4.43557,14.7562,85.2438,56.8186,43.1814
4.50177,17.1846,82.8154,57.9433,42.0567
4.56797,10.4265,89.5735,52.7199,47.2801
4.63418,10.7288,89.2712,58.3449,41.6551
4.70038,11.0783,88.9217,60.7358,39.2642
4.76658,18.5803,81.4197,49.9935,50.0065
4.83278,5.35326,94.6467,44.9482,55.0518
4.89899,19.5534,80.4466,42.2647,57.7353
4.96519,12.5174,87.4827,38.9135,61.0865
5.03139,22.7106,77.2894,38.9893,61.0107
5.09759,19.7422,80.2578,49.6615,50.3385
5.1638,17.9005,82.0995,45.4718,54.5282
5.23,14.5081,85.4919,35.2615,64.7385
5.2962,30.5379,69.4621,48.7128,51.2872
5.3624,38.1119,61.8881,40.291,59.709
5.42861,17.7715,82.2285,36.9016,63.0984
5.49481,32.5832,67.4168,45.5966,54.4034
5.56101,40.275,59.725,35.6,64.4
5.62721,38.1692,61.8308,27.8011,72.1989
5.69342,23.6639,76.3361,34.7887,65.2113
5.75962,42.2158,57.7842,38.9335,61.0665
5.82582,30.6504,69.3496,39.365,60.635
5.89202,45.6988,54.3012,31.1396,68.8604
5.95823,24.9518,75.0482,32.1534,67.8466
6.02443,47.286,52.714,41.7341,58.2659
6.09063,47.6815,52.3185,27.5879,72.4121
6.15683,44.7443,55.2557,33.8272,66.1728
6.22304,36.0332,63.9668,27.0851,72.9149
6.28924,38.042,61.958,36.0311,63.9689
6.35544,31.6548,68.3452,25.7226,74.2774
6.42164,55.7724,44.2276,28.6581,71.3419
6.48785,39.472,60.528,33.1507,66.8493
6.55405,45.1616,54.8384,32.1494,67.8506
6.62025,49.0859,50.9141,28.0375,71.9625
6.68645,40.9819,59.0181,25.0424,74.9576
6.75266,42.4698,57.5302,40.3913,59.6087
6.81886,37.364,62.636,42.9121,57.0879
6.88506,41.7966,58.2034,44.6269,55.3731
6.95126,30.4698,69.5302,49.4919,50.5081
7.01747,27.5002,72.4998,56.79,43.21
7.08367,34.5229,65.4771,44.8416,55.1584
7.14987,25.7297,74.2703,57.1525,42.8475
7.21607,28.0587,71.9413,51.5563,48.4437
7.28228,29.883,70.117,62.8739,37.1261
7.34848,28.2704,71.7296,58.6114,41.3886
7.41468,26.3697,73.6303,68.8175,31.1825
7.48088,26.4727,73.5273,65.0779,34.9221
7.54709,14.1081,85.8919,68.9075,31.0925
7.61329,33.3688,66.6312,73.5488,26.4512
7.67949,25.3534,74.6466,70.2267,29.7733
7.74569,12.7708,87.2292,74.8091,25.1909
7.8119,25.5641,74.4359,76.4302,23.5698
7.8781,24.851,75.149,72.2846,27.7154
7.9443,22.8481,77.1519,88.6523,11.3477
8.0105,18.0348,81.9652,64.9054,35.0946
8.07671,15.1309,84.8691,57.0119,42.9881
8.14291,19.6779,80.3221,76.4342,23.5658
8.20911,26.3721,73.6279,74.7801,25.2199
8.27531,20.9221,79.0779,73.8261,26.1739
8.34152,11.8102,88.1898,77.9267,22.0733
8.40772,21.1961,78.8039,71.8523,28.1477
8.47392,13.5084,86.4916,69.7112,30.2888
8.54012,20.2653,79.7347,70.5706,29.4294
8.60633,14.9283,85.0717,79.268,20.732
8.67253,7.07552,92.9245,83.6879,16.3121
8.73873,19.5384,80.4616,69.359,30.641
8.80493,14.2885,85.7115,72.1778,27.8222
8.87114,22.0067,77.9933,84.2092,15.7908
8.93734,21.9737,78.0263,70.0002,29.9998
9.00354,14.6025,85.3975,66.9715,33.0285
9.06974,11.6918,88.3082,72.3991,27.6009
9.13595,13.577,86.423,80.4294,19.5706
9.20215,24.9504,75.0496,74.2464,25.7536
9.26835,16.2911,83.7089,77.9996,22.0004
9.33455,28.2398,71.7602,74.4848,25.5152
9.40076,19.0654,80.9346,78.4536,21.5464
9.46696,8.3429,91.6571,75.2869,24.7131
9.53316,7.49852,92.5015,75.6928,24.3072
9.59936,3.44251,96.5575,81.4545,18.5455
9.66557,20.4939,79.5061,60.474,39.526
9.73177,10.3657,89.6343,78.2954,21.7046
9.79797,8.15769,91.8423,75.9705,24.0295
9.86417,11.4445,88.5555,82.0722,17.9278
9.93038,21.3045,78.6954,71.0679,28.9321
9.99658,11.1373,88.8627,75.1288,24.8712
10.0628,14.8561,85.1439,79.0874,20.9126
10.129,0,100,66.8424,33.1576
10.1952,7.26356,92.7364,71.5727,28.4273
10.2614,8.19622,91.8038,80.8424,19.1576
10.3276,12.8949,87.1051,65.7352,34.2648
10.3938,8.2202,91.7798,78.3821,21.6179
10.46,11.1191,88.8809,81.9272,18.0728
10.5262,7.49855,92.5014,77.3858,22.6142
10.5924,7.38444,92.6156,85.0616,14.9384
10.6586,3.77429,96.2257,75.8366,24.1634
10.7248,14.1083,85.8917,76.9426,23.0574
10.791,6.90707,93.0929,69.9314,30.0686
10.8572,4.58896,95.411,66.8503,33.1497
10.9234,4.08935,95.9107,78.7502,21.2498
10.9896,7.28705,92.713,76.54,23.46
11.0558,23.3179,76.6821,74.9619,25.0381
11.122,9.93713,90.0629,80.7523,19.2477
11.1882,0,100,77.8714,22.1286
11.2544,9.91278,90.0872,79.7995,20.2005
11.3206,9.41789,90.5821,78.8752,21.1248
11.3868,10.4529,89.5471,71.4445,28.5556
11.453,13.2237,86.7763,78.4519,21.5481
11.5192,6.54267,93.4573,75.5036,24.4964
11.5854,0,100,78.6525,21.3475
11.6516,9.48875,90.5113,82.8046,17.1954
11.7178,1.54453,98.4555,78.7913,21.2087
11.784,2.67505,97.325,82.3997,17.6003
11.8503,2.5442,97.4558,74.2246,25.7754
11.9165,3.03392,96.9661,83.1459,16.8541
11.9827,5.47147,94.5285,88.8095,11.1905
12.0489,9.47099,90.529,84.1544,15.8456
12.1151,0,100,74.539,25.461
12.1813,9.22627,90.7737,73.6297,26.3703
12.2475,16.6743,83.3257,84.2495,15.7505
12.3137,0.939938,99.0601,78.209,21.791
12.3799,3.88932,96.1107,76.2942,23.7058
12.4461,5.55146,94.4485,74.6255,25.3745
12.5123,9.25202,90.748,78.6792,21.3208
12.5785,5.80311,94.1969,93.4875,6.51254
12.6447,9.69044,90.3096,81.7255,18.2745
12.7109,10.3267,89.6733,86.4493,13.5507
12.7771,0,100,75.512,24.488
12.8433,3.67691,96.3231,81.9449,18.0551
12.9095,15.0273,84.9727,84.6278,15.3722
12.9757,9.39413,90.6059,79.6603,20.3397
13.0419,9.1465,90.8535,87.6137,12.3863
13.1081,0,100,76.7982,23.2018
13.1743,1.96402,98.036,76.6314,23.3686
